,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,03000359,Sở GDĐT Hải Phòng,7.60,6.50,3.20,6.00,4.00,5.42,0,0,0
0,03000360,Sở GDĐT Hải Phòng,8.40,5.50,4.00,5.75,4.25,4.58,0,0,0
0,03000361,Sở GDĐT Hải Phòng,8.60,6.00,4.40,8.00,5.00,7.00,0,0,0
0,03000362,Sở GDĐT Hải Phòng,8.20,0,7.40,0,0,0,0,0,0
0,03000363,Sở GDĐT Hải Phòng,8.20,8.75,6.80,0,0,0,7.25,9.25,8.25
0,03000364,Sở GDĐT Hải Phòng,7.60,7.50,5.40,8.00,4.75,6.58,0,0,0
0,03000365,Sở GDĐT Hải Phòng,8.00,8.00,8.60,0,0,0,8.25,7.75,7.25
0,03000366,Sở GDĐT Hải Phòng,8.40,7.00,6.00,0,0,0,8.50,9.50,9.00
0,03000367,Sở GDĐT Hải Phòng,7.60,8.00,3.80,0,0,0,6.50,9.75,8.08
0,03000368,Sở GDĐT Hải Phòng,9.00,8.00,7.00,0,0,0,8.25,9.75,8.83
0,03000369,Sở GDĐT Hải Phòng,7.40,7.75,4.00,0,0,0,8.00,9.25,7.92
0,03000370,Sở GDĐT Hải Phòng,6.60,7.50,3.40,0,0,0,7.00,9.50,8.25
0,03000371,Sở GDĐT Hải Phòng,8.20,6.25,4.00,6.75,5.75,5.67,0,0,0
0,03000372,Sở GDĐT Hải Phòng,8.40,7.00,5.80,0,0,0,7.00,9.00,7.17
0,03000373,Sở GDĐT Hải Phòng,9.00,8.00,7.80,0,0,0,7.50,9.75,8.33
0,03000374,Sở GDĐT Hải Phòng,8.20,6.00,3.80,7.00,4.00,6.25,0,0,0
0,03000375,Sở GDĐT Hải Phòng,7.00,6.00,5.60,0,0,0,6.75,9.00,7.75
0,03000376,Sở GDĐT Hải Phòng,4.40,6.50,3.20,4.00,5.75,4.42,0,0,0
0,03000377,Sở GDĐT Hải Phòng,9.00,6.00,4.80,7.75,5.50,6.92,0,0,0
0,03000378,Sở GDĐT Hải Phòng,9.00,7.25,7.00,8.25,6.00,6.42,0,0,0
0,03000379,Sở GDĐT Hải Phòng,6.00,5.50,0,0,0,0,7.50,0,0
0,03000380,Sở GDĐT Hải Phòng,8.80,7.75,9.00,5.00,7.50,7.17,0,0,0
0,03000381,Sở GDĐT Hải Phòng,8.80,7.75,8.60,7.25,6.75,7.33,0,0,0
0,03000382,Sở GDĐT Hải Phòng,9.20,6.75,6.20,8.50,5.75,7.33,0,0,0
0,03000383,Sở GDĐT Hải Phòng,9.00,6.50,7.80,6.00,6.75,7.00,0,0,0
0,03000384,Sở GDĐT Hải Phòng,9.20,6.75,7.60,7.00,6.50,7.25,0,0,0
0,03000385,Sở GDĐT Hải Phòng,8.00,8.00,6.60,0,0,0,7.00,10.00,8.58
0,03000386,Sở GDĐT Hải Phòng,5.00,6.00,0,0,0,0,7.75,0,0
0,03000387,Sở GDĐT Hải Phòng,6.60,8.25,6.80,0,0,0,8.50,8.50,7.92
0,03000388,Sở GDĐT Hải Phòng,7.80,5.50,5.60,2.75,4.25,4.42,0,0,0
0,03000389,Sở GDĐT Hải Phòng,7.40,8.25,6.60,0,0,0,9.50,9.25,8.67
0,03000390,Sở GDĐT Hải Phòng,7.00,5.75,0,0,0,0,6.50,0,0
0,03000391,Sở GDĐT Hải Phòng,4.60,8.00,5.20,0,0,0,9.00,9.00,8.92
0,03000392,Sở GDĐT Hải Phòng,7.60,6.25,7.60,0,0,0,0,0,0
0,03000393,Sở GDĐT Hải Phòng,7.80,6.25,5.40,8.25,7.25,8.00,0,0,0
0,03000394,Sở GDĐT Hải Phòng,9.40,6.50,5.20,8.50,6.25,7.67,0,0,0
0,03000395,Sở GDĐT Hải Phòng,8.20,6.50,7.60,8.75,7.25,8.17,0,0,0
0,03000396,Sở GDĐT Hải Phòng,5.40,6.00,0,0,0,0,5.25,0,0
0,03000397,Sở GDĐT Hải Phòng,8.00,7.50,6.00,0,0,0,8.00,8.75,7.42
0,03000398,Sở GDĐT Hải Phòng,7.80,6.75,0,0,0,0,8.00,0,0
0,03000399,Sở GDĐT Hải Phòng,6.80,5.00,0,0,0,0,7.00,0,0
0,03000400,Sở GDĐT Hải Phòng,7.80,8.00,7.40,0,0,0,7.50,9.25,8.25
0,03000401,Sở GDĐT Hải Phòng,3.60,3.25,0,0,0,0,4.50,0,0
0,03000402,Sở GDĐT Hải Phòng,9.00,5.75,5.60,7.50,4.25,6.42,0,0,0
0,03000403,Sở GDĐT Hải Phòng,9.20,6.50,7.40,7.50,5.25,6.75,0,0,0
0,03000404,Sở GDĐT Hải Phòng,7.20,7.50,5.40,0,0,0,7.25,9.00,7.67
0,03000405,Sở GDĐT Hải Phòng,7.80,7.50,7.20,0,0,0,7.50,9.50,8.75
0,03000406,Sở GDĐT Hải Phòng,8.80,7.75,5.20,8.25,7.25,7.67,0,0,0
0,03000407,Sở GDĐT Hải Phòng,9.00,6.50,7.00,7.50,6.25,7.33,0,0,0
0,03000408,Sở GDĐT Hải Phòng,7.20,6.50,4.80,0,0,0,6.75,8.00,6.75
0,03000409,Sở GDĐT Hải Phòng,8.80,6.00,7.60,4.75,4.50,5.58,0,0,0
0,03000410,Sở GDĐT Hải Phòng,7.60,7.25,4.60,0,0,0,7.50,8.50,7.42
0,03000411,Sở GDĐT Hải Phòng,4.80,3.25,0,0,0,0,6.25,0,0
0,03000412,Sở GDĐT Hải Phòng,8.00,6.50,6.60,0,0,0,6.50,9.00,7.83
0,03000413,Sở GDĐT Hải Phòng,9.20,8.00,7.40,8.75,6.00,7.67,0,0,0
0,03000414,Sở GDĐT Hải Phòng,8.60,7.00,7.00,8.00,5.00,7.25,0,0,0
0,03000415,Sở GDĐT Hải Phòng,6.80,7.75,4.40,0,0,0,7.00,8.00,7.50
0,03000416,Sở GDĐT Hải Phòng,8.60,8.25,5.60,0,0,0,8.25,9.00,8.33
0,03000417,Sở GDĐT Hải Phòng,7.60,8.50,7.00,0,0,0,8.00,8.75,7.75
