,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,1000211,S? GDÐT Hà N?i,8.2,8,8.6,0,0,0,7.75,8.25,7.33
0,1000213,S? GDÐT Hà N?i,9,7.5,9.2,8.5,6.5,6.83,0,0,0
0,1000216,S? GDÐT Hà N?i,8.8,7.5,7.6,0,0,0,7.75,8.5,7.58
0,1000217,S? GDÐT Hà N?i,7.2,7,7,0,0,0,6.25,7.5,6.5
0,1000217,S? GDÐT Hà N?i,7.2,7,7,0,0,0,6.25,7.5,6.5
0,1000217,S? GDÐT Hà N?i,7.2,7,7,0,0,0,6.25,7.5,6.5
0,1000221,S? GDÐT Hà N?i,5.6,8,5,0,0,0,8,9.25,8.5
0,1000222,S? GDÐT Hà N?i,8.4,7,7.6,0,0,0,7.5,9,7.5
0,1000223,S? GDÐT Hà N?i,4.8,7.5,3.2,0,0,0,6.75,9.25,7.92
0,1000224,S? GDÐT Hà N?i,8.8,8.75,7.4,0,0,0,8,8.25,8
0,1000225,S? GDÐT Hà N?i,2.6,6,1.6,0,0,0,4.5,6,5.17
0,1000226,S? GDÐT Hà N?i,8,8.25,5.8,0,0,0,7.25,7.75,7.17
0,1000226,S? GDÐT Hà N?i,8,8.25,5.8,0,0,0,7.25,7.75,7.17
0,1000227,S? GDÐT Hà N?i,5,7,6.4,0,0,0,6.75,7.5,7.33
0,1000229,S? GDÐT Hà N?i,9,7.25,8.2,0,0,0,8.25,9,8.42
0,1000230,S? GDÐT Hà N?i,8.2,7.25,5.6,7.25,4.5,6.58,0,0,0
0,1000231,S? GDÐT Hà N?i,4.6,8.75,6.4,3.75,4.5,5.33,0,0,0
0,1000233,S? GDÐT Hà N?i,6.8,6.5,0,0,0,0,0,0,0
0,1000235,S? GDÐT Hà N?i,8.6,6,4.6,7.75,3.5,6.08,0,0,0
0,1000236,S? GDÐT Hà N?i,8.6,6.5,0,0,0,0,0,0,0
0,1000237,S? GDÐT Hà N?i,5.4,5,0,0,0,0,7.25,0,0
0,1000238,S? GDÐT Hà N?i,9.2,7,7.6,6,4.75,6.08,0,0,0
0,1000239,S? GDÐT Hà N?i,8,8,8.4,0,0,0,8.25,8.5,8.17
0,1000240,S? GDÐT Hà N?i,8,7,0,0,0,0,0,0,0
0,1000241,S? GDÐT Hà N?i,7.4,6,4.8,0,0,0,7.25,9,7.5
0,1000242,S? GDÐT Hà N?i,7.8,8.25,8.2,0,0,0,7.25,8.5,8.42
0,1000243,S? GDÐT Hà N?i,3.4,6.5,3,0,0,0,6.25,8,6.5
0,1000244,S? GDÐT Hà N?i,8.8,7.5,5.8,8.75,4.5,7.17,0,0,0
0,1000245,S? GDÐT Hà N?i,8.8,6.5,9,0,0,0,7,8.75,7.67
0,1000246,S? GDÐT Hà N?i,8.4,8.75,8.4,0,0,0,8.25,9.25,8.58
0,1000247,S? GDÐT Hà N?i,7.4,7.25,7.2,0,0,0,6,7.25,6.5
0,1000248,S? GDÐT Hà N?i,8.6,6.25,8,3.75,1.75,4.5,0,0,0
0,1000249,S? GDÐT Hà N?i,6.8,7.5,7,0,0,0,6.75,8,7.58
0,1000250,S? GDÐT Hà N?i,9,8,7.6,0,0,0,7.25,8.25,6.67
0,1000251,S? GDÐT Hà N?i,8,7.5,8.4,0,0,0,8.5,8.5,8.25
